ISO,Rank2018,FR_Country,EN_country,ES_country,Score 2018,Progression RANK,Rank 2017,Score 2017,Zone,Diff Prog Score,Score Exa,Score A
THA,140,Thaïlande,Thailand,Tailandia,"44,31",2,142,"44,69",Asie-Pacifique,"-0,373137829005984","47,6","43,49"
HND,141,Honduras,Honduras,Honduras,"45,23",-1,140,"43,75",Amériques,"1,47907073298191","46,3","44,95"
KHM,142,Cambodge,Cambodia,Camboya,"45,90",-10,132,"42,07",Asie-Pacifique,"3,8258662850468","37,4","45,9"
VEN,143,Venezuela,Venezuela,Venezuela,"46,03",-6,137,"42,94",Amériques,"3,08752962499173","45,6","45,56"
SSD,144,Soudan du Sud,South Sudan,Sudàn del Sur,"46,88",1,145,"48,16",Afrique,"-1,28565365825523",46,"46,88"
MYS,145,Malaisie,Malaysia,Malasia,"47,41",-1,144,"46,89",Asie-Pacifique,"0,51686229654608",0,"47,41"
BGD,146,Bangladesh,Bangladesh,Bangladés,"48,62",0,146,"48,36",Asie-Pacifique,"0,26275408304182","54,3","47,2"
MEX,147,Mexique,Mexico,México,"48,91",0,147,"48,97",Amériques,"-0,064825432643467","69,5","43,77"
RUS,148,Russie,Russian Federation,Rusia,"49,96",0,148,"49,45",EEAC,"0,505748975808366","55,8","48,24"
TJK,149,Tadjikistan,Tajikistan,Tayikistàn,"50,06",0,149,"50,27",EEAC,"-0,210788390147748",30,"50,06"
ETH,150,Éthiopie,Ethiopia,Etiopía,"50,17",0,150,"50,34",Afrique,"-0,16935318166216","65,4","46,07"
SGP,151,Singapour    ,Singapore,Singapur,"50,95",0,151,"51,10",Asie-Pacifique,"-0,147743623286146",0,"50,95"
SWZ,152,Swaziland,Swaziland,Suazilandia,"51,46",0,152,"51,27",Afrique,"0,183339297734207",0,"51,46"
BRN,153,Brunei,Brunei Darussalam,Brunéi,"51,48",3,156,"53,72",Asie-Pacifique,"-2,23629542822793",0,"51,48"
COD,154,RD Congo,The Democratic Republic Of The Congo,RD Congo,"51,60",0,154,"52,67",Afrique,"-1,06787549522447","44,7","51,6"
BLR,155,Bélarus,Belarus,Bielorrusia,"52,59",-2,153,"52,43",EEAC,"0,162360581769079","50,2","52,28"
RWA,156,Rwanda,Rwanda,Ruanda,"52,90",3,159,"54,11",Afrique,"-1,20492434852757","13,9","52,9"
TUR,157,Turquie,Turkey,Turquía,"53,50",-2,155,"52,98",EEAC,"0,518451254890834","63,7","50,96"
KAZ,158,Kazakhstan,Kazakhstan,Kazajistàn,"54,41",-1,157,"54,01",EEAC,"0,398691378445186",33,"54,41"
