ISO,FR_Country,2013,2014,2015,2016,2017,2018,2019,2020,Zone
LUX,Luxembourg,"6,68","6,7","13,61","14,43","14,72","14,72","15,66","15,46",UE Balkans
LVA,Lettonie,"22,89","21,1","18,12","17,38","18,62","19,63","19,53","18,56",UE Balkans
MAR,Maroc,"39,04","39,72","39,19","42,64","42,42","43,13","43,98","42,88",MENA
MDA,Moldavie,"26,01","25,35","27,85","28,83","30,41","30,01","31,21","31,16",EEAC
MDG,Madagascar,"28,62","29,38","27,43","27,04","26,71","26,20","27,76","27,68",Afrique
MDV,Maldives,"31,1","33,11","34,32","34,17","39,3","37,95","32,16","29,93",Asie-Pacifique
MEX,Mexique,"45,3","45,04","43,69","49,33","48,97","48,91","46,78","45,45",Amériques
MKD,Macédoine,"34,27","36,43","36,26","36,09","35,74","32,43","31,66","31,28",UE Balkans
MLI,Mali,"30,03","36,29","36,33","39,83","38,27","36,15","35,23","34,12",Afrique
MLT,Malte,"23,3","23,84","24,16","23,84","24,76","27,44","29,74","30,16",UE Balkans
MMR,Birmanie,"44,71","41,43","42,08","45,48","41,82","43,15","44,92","44,77",Asie-Pacifique
MNE,Monténégro,"32,97","34,78","34,63","32,79","33,65","31,21","32,74","33,83",UE Balkans
MNG,Mongolie,"29,93","30,3","25,25","27,61","28,95","29,05","29,51","29,61",Asie-Pacifique
MOZ,Mozambique,"28,01","29,26","29,98","30,25","31,05","31,12","32,66","33,79",Afrique
MRT,Mauritanie,"26,76","26,53","25,27","24,03","26,49","29,09","31,65","32,54",Afrique
MUS,Maurice,"26,47","27,69","27,69","27,69","26,67","26,45","28,46",28,Afrique
MWI,Malawi,"28,18","28,29","26,41","28,12","28,97","27,43","29,36","29,32",Afrique
MYS,Malaisie,"42,73","42,73","43,29","46,57","46,89","47,41","36,74","33,12",Asie-Pacifique
NAM,Namibie,"12,5","12,5","12,5","15,15","17,08","20,24","18,95","19,25",Afrique
NER,Niger,"23,08","23,59","23,85","24,62","27,21","27,40","29,26","28,25",Afrique
NGA,Nigeria,"34,11","34,24","34,09","35,9","39,69","37,41","36,50","35,63",Afrique
NIC,Nicaragua,"28,31","27,7","27,94","28,82","31,01","30,41","35,53","35,81",Amériques
NLD,Pays-Bas,"6,48","6,46","9,22","8,76","11,28","10,01","8,63","9,96",UE Balkans
NOR,Norvège,"6,52","6,52","7,75","8,79","7,6","7,63","7,82","7,84",UE Balkans
NPL,Népal,"34,61","36,16","32,71","32,62","33,02","32,05","33,40","35,1",Asie-Pacifique
NZL,Nouvelle-Zélande,"8,38","8,55","10,06","10,01","13,98","13,62","10,75","10,69",Asie-Pacifique
OMN,Oman,"41,51","38,83","38,83","40,43","40,46","40,67","43,42","43,42",MENA
PAK,Pakistan,"51,31","51,46","50,46","48,52","43,55","43,24","45,83","45,52",Asie-Pacifique
PAN,Panama,"32,95","30,2","28,98","30,59","32,12","30,56","29,78","29,78",Amériques
PER,Perou,"31,87","31,7","31,21","29,99","30,98","30,27","30,22","30,94",Amériques
PHL,Philippines,"43,11","43,69","41,19","44,66","41,08","42,53","43,91","43,54",Asie-Pacifique
PNG,Papouasie-Nouvelle-Guinée,"22,97","23,46","25,87","25,81","25,07","26,19","24,70","23,93",Asie-Pacifique
POL,Pologne,"13,11","11,03","12,71","23,89","26,47","26,59","28,89","28,65",UE Balkans
PRK,Corée du Nord,"83,9","81,96","83,25","83,76","84,98","88,87","83,40","85,82",Asie-Pacifique
PRT,Portugal,"16,75","17,73","17,11","17,27","15,77","14,17","12,63","11,83",UE Balkans
PRY,Paraguay,"28,78","31,81","33,74","33,63","35,64","32,32","32,40","32,97",Amériques
PSE,Palestine,"43,09","40,11","41,01","42,93","42,9","42,96","44,68","44,09",MENA
QAT,Qatar,"32,86","34,32","35,35","35,97","39,83","40,16","42,51","42,51",MENA
ROU,Roumanie,"23,05","23,48","24,9","24,29","24,46","23,65","25,67","25,91",UE Balkans
RUS,Russie,"43,42","42,78","44,97","49,03","49,45","49,96","50,31","48,92",EEAC
RWA,Rwanda,"55,46","56,57","56,57","54,61","54,11","52,90","52,43","50,34",Afrique
SAU,Arabie saoudite,"56,88","58,3","59,41","59,72","66,02","63,13","65,88","62,14",MENA
